iter	Passed	Remaining
416	2524	3528
417	2529	3522
418	2535	3516
419	2541	3510
420	2546	3502
421	2552	3496
422	2558	3490
423	2564	3483
424	2570	3477
425	2575	3470
426	2581	3464
427	2588	3459
428	2595	3454
429	2600	3447
430	2607	3442
431	2612	3435
432	2618	3428
433	2624	3423
434	2630	3416
435	2635	3409
436	2640	3401
437	2645	3394
438	2650	3387
439	2656	3380
440	2661	3373
441	2667	3368
442	2673	3361
443	2678	3354
444	2683	3346
445	2688	3339
446	2693	3332
447	2698	3324
448	2703	3317
449	2709	3311
450	2714	3303
451	2718	3296
452	2724	3290
453	2729	3283
454	2734	3275
455	2740	3269
456	2746	3262
457	2750	3255
458	2756	3249
459	2761	3242
460	2766	3235
461	2772	3229
462	2777	3221
463	2782	3214
464	2788	3208
465	2793	3201
466	2798	3193
467	2804	3187
468	2810	3181
469	2814	3174
470	2820	3167
471	2825	3161
472	2830	3153
473	2835	3146
474	2842	3141
475	2847	3134
476	2852	3127
477	2858	3121
478	2863	3114
479	2869	3108
480	2875	3103
481	2880	3096
482	2887	3090
483	2893	3084
484	2899	3078
485	2905	3073
486	2912	3067
487	2917	3060
488	2923	3055
489	2929	3048
490	2935	3043
491	2941	3036
492	2946	3030
493	2952	3023
494	2957	3017
495	2963	3010
496	2968	3004
497	2974	2997
498	2978	2990
499	2984	2984
500	2988	2977
501	2993	2969
502	2998	2962
503	3003	2956
504	3008	2949
505	3013	2941
506	3019	2935
507	3024	2929
508	3029	2922
509	3035	2916
510	3040	2909
511	3044	2902
512	3050	2895
513	3055	2888
514	3059	2881
515	3064	2874
516	3069	2867
517	3074	2860
518	3079	2853
519	3084	2846
520	3089	2840
521	3093	2832
522	3098	2826
523	3103	2819
524	3108	2812
525	3113	2805
526	3118	2799
527	3123	2792
528	3128	2785
529	3133	2778
530	3138	2771
531	3143	2764
532	3148	2758
533	3152	2751
534	3157	2744
535	3162	2737
536	3167	2730
537	3172	2724
538	3176	2716
539	3181	2710
540	3186	2703
541	3191	2696
542	3195	2689
543	3200	2682
544	3206	2676
545	3211	2670
546	3217	2664
547	3222	2657
548	3227	2651
549	3232	2645
550	3238	2638
551	3242	2631
552	3248	2625
553	3252	2618
554	3257	2612
555	3262	2605
556	3267	2598
557	3272	2592
558	3277	2585
559	3282	2579
560	3287	2572
561	3292	2565
562	3297	2559
563	3302	2552
564	3306	2546
565	3313	2540
566	3317	2533
567	3322	2526
568	3327	2520
569	3332	2513
570	3337	2507
571	3342	2500
572	3347	2494
573	3352	2487
574	3357	2481
575	3362	2474
576	3366	2467
577	3371	2461
578	3375	2454
579	3380	2448
580	3385	2441
581	3390	2435
582	3395	2428
583	3400	2422
584	3405	2415
585	3409	2409
586	3415	2402
587	3419	2396
588	3424	2389
589	3431	2384
590	3436	2377
591	3440	2371
592	3447	2365
593	3452	2360
594	3457	2353
595	3464	2348
596	3469	2342
597	3474	2335
598	3480	2330
599	3486	2324
600	3490	2317
601	3497	2312
602	3502	2305
603	3507	2299
604	3513	2293
605	3519	2288
606	3524	2281
607	3530	2276
608	3536	2270
609	3541	2264
610	3547	2258
611	3552	2252
612	3557	2245
613	3563	2240
614	3568	2234
615	3573	2227
616	3579	2222
617	3585	2216
618	3590	2209
619	3596	2204
620	3601	2198
621	3606	2191
622	3612	2186
623	3617	2179
624	3623	2174
625	3630	2169
626	3636	2163
627	3644	2158
628	3650	2153
629	3656	2147
630	3663	2142
631	3669	2136
632	3676	2131
633	3682	2125
634	3688	2119
635	3695	2115
636	3701	2109
637	3707	2103
638	3713	2098
639	3719	2092
640	3726	2086
641	3732	2081
642	3737	2075
643	3744	2070
644	3750	2064
645	3757	2058
646	3762	2052
647	3767	2046
648	3772	2040
649	3777	2033
650	3782	2027
651	3786	2021
652	3792	2015
653	3797	2008
654	3801	2002
655	3806	1996
656	3811	1989
657	3816	1983
658	3821	1977
659	3826	1971
660	3831	1964
661	3835	1958
662	3840	1952
663	3845	1945
664	3850	1939
665	3856	1933
666	3861	1927
667	3866	1921
668	3871	1915
669	3876	1909
670	3881	1903
671	3887	1897
672	3893	1891
673	3898	1885
674	3905	1880
675	3911	1874
676	3917	1869
677	3924	1863
678	3929	1857
679	3934	1851
680	3940	1845
681	3946	1840
682	3951	1833
683	3957	1828
684	3963	1822
685	3969	1816
686	3975	1811
687	3980	1805
688	3985	1799
689	3990	1792
690	3995	1786
691	4000	1780
692	4005	1774
693	4010	1768
694	4015	1762
695	4020	1756
696	4025	1749
697	4030	1743
698	4035	1737
699	4040	1731
700	4044	1725
701	4049	1719
702	4055	1713
703	4060	1707
704	4064	1700
705	4070	1695
706	4075	1689
707	4080	1682
708	4085	1676
709	4089	1670
710	4094	1664
711	4099	1658
712	4105	1652
713	4110	1646
714	4121	1642
715	4128	1637
716	4136	1632
717	4143	1627
718	4150	1622
719	4156	1616
720	4162	1610
721	4170	1605
722	4177	1600
723	4184	1595
724	4190	1589
725	4196	1583
726	4203	1578
727	4208	1572
728	4214	1566
729	4221	1561
730	4227	1555
731	4236	1551
732	4244	1545
733	4251	1540
734	4259	1535
735	4264	1529
736	4271	1524
737	4277	1518
738	4284	1513
739	4289	1507
740	4294	1501
741	4300	1495
742	4305	1489
743	4309	1482
744	4315	1477
745	4320	1471
746	4325	1465
747	4330	1459
748	4335	1453
749	4340	1446
750	4345	1440
751	4350	1434
752	4355	1428
753	4360	1422
754	4365	1416
755	4370	1410
756	4375	1404
757	4380	1398
758	4385	1392
759	4390	1386
760	4395	1380
761	4400	1374
762	4405	1368
763	4410	1362
764	4414	1356
765	4419	1350
766	4424	1344
767	4428	1337
768	4433	1331
769	4438	1325
770	4443	1319
771	4448	1313
772	4452	1307
773	4457	1301
774	4463	1295
775	4467	1289
776	4472	1283
777	4477	1277
778	4482	1271
779	4487	1265
780	4492	1259
781	4497	1253
782	4503	1247
783	4508	1242
784	4514	1236
785	4519	1230
786	4524	1224
787	4529	1218
788	4534	1212
789	4538	1206
790	4543	1200
791	4549	1194
792	4553	1188
793	4558	1182
794	4563	1176
795	4568	1170
796	4573	1164
797	4578	1158
798	4583	1153
799	4588	1147
800	4592	1140
801	4598	1135
802	4602	1129
803	4607	1123
804	4612	1117
805	4617	1111
806	4622	1105
807	4628	1099
808	4632	1093
809	4637	1087
810	4642	1081
811	4647	1076
812	4652	1070
813	4656	1064
814	4661	1058
815	4666	1052
816	4671	1046
817	4676	1040
818	4681	1034
819	4685	1028
820	4690	1022
821	4696	1016
822	4701	1011
823	4706	1005
824	4712	999
825	4717	993
826	4722	987
827	4727	982
828	4732	976
829	4738	970
830	4744	964
831	4748	958
832	4753	953
833	4760	947
834	4765	941
835	4771	936
836	4778	930
837	4784	924
838	4790	919
839	4796	913
840	4802	907
841	4808	902
842	4815	896
843	4821	891
844	4827	885
845	4833	879
846	4839	874
847	4845	868
848	4851	862
849	4858	857
850	4864	851
851	4870	845
852	4877	840
853	4882	834
854	4888	829
855	4895	823
856	4900	817
857	4906	811
858	4912	806
859	4917	800
860	4923	794
861	4929	789
862	4934	783
863	4940	777
864	4945	771
865	4950	766
866	4957	760
867	4962	754
868	4967	748
869	4974	743
870	4979	737
871	4985	731
872	4991	726
873	4996	720
874	5001	714
875	5006	708
876	5011	702
877	5016	697
878	5022	691
879	5026	685
880	5031	679
881	5036	673
882	5041	668
883	5046	662
884	5051	656
885	5056	650
886	5061	644
887	5065	638
888	5071	633
889	5075	627
890	5080	621
891	5085	615
892	5090	609
893	5094	604
894	5099	598
895	5104	592
896	5109	586
897	5113	580
898	5119	575
899	5124	569
900	5129	563
901	5134	557
902	5139	552
903	5144	546
904	5148	540
905	5154	534
906	5158	528
907	5163	523
908	5167	517
909	5173	511
910	5178	505
911	5183	500
912	5188	494
913	5192	488
914	5197	482
915	5202	477
916	5207	471
917	5212	465
918	5217	459
919	5223	454
920	5227	448
921	5232	442
922	5238	436
923	5242	431
924	5247	425
925	5252	419
926	5257	413
927	5261	408
928	5266	402
929	5271	396
930	5276	391
931	5281	385
932	5286	379
933	5291	373
934	5296	368
935	5301	362
936	5306	356
937	5311	351
938	5315	345
939	5321	339
940	5326	333
941	5331	328
942	5336	322
943	5341	316
944	5346	311
945	5351	305
946	5356	299
947	5361	294
948	5366	288
949	5371	282
950	5376	276
951	5380	271
952	5386	265
953	5390	259
954	5395	254
955	5401	248
956	5405	242
957	5410	237
958	5414	231
959	5420	225
960	5425	220
961	5429	214
962	5435	208
963	5440	203
964	5445	197
965	5450	191
966	5455	186
967	5459	180
968	5465	174
969	5470	169
970	5474	163
971	5479	157
972	5485	152
973	5490	146
974	5495	140
975	5501	135
976	5506	129
977	5510	123
978	5516	118
979	5520	112
980	5525	107
981	5530	101
982	5535	95
983	5540	90
984	5545	84
985	5550	78
986	5555	73
987	5559	67
988	5564	61
989	5569	56
990	5574	50
991	5579	44
992	5583	39
993	5588	33
994	5593	28
995	5598	22
996	5603	16
997	5608	11
998	5613	5
999	5618	0
