iter	RMSE
208	0.4958635935
209	0.4958437394
210	0.4958189445
211	0.4957933731
212	0.4957674733
213	0.4957456831
214	0.4957352705
215	0.49571379
216	0.495697825
217	0.4956813743
218	0.4956621244
219	0.4956416422
220	0.495623317
221	0.495606155
222	0.4955811049
223	0.4955632516
224	0.4955484529
225	0.4955334983
226	0.4955097013
227	0.4954905814
228	0.495466482
229	0.4954349352
230	0.4954098793
231	0.4953946168
232	0.4953709563
233	0.4953521854
234	0.4953400679
235	0.4953171261
236	0.4953007276
237	0.4952822522
238	0.4952537603
239	0.495235633
240	0.4952123821
241	0.4951927638
242	0.4951741775
243	0.4951494898
244	0.4951327358
245	0.4951161042
246	0.4951038024
247	0.4950810317
248	0.4950622771
249	0.4950494055
250	0.4950271775
251	0.495004762
252	0.4949796806
253	0.4949584251
254	0.4949462189
255	0.4949180186
256	0.4949014379
257	0.4948851017
258	0.4948571571
259	0.49484047
260	0.4948186831
261	0.4947864875
262	0.4947660306
263	0.4947446573
264	0.4947295068
265	0.4947150545
266	0.4946992622
267	0.4946817386
268	0.4946688609
269	0.494654341
270	0.4946341031
271	0.494606601
272	0.4945900136
273	0.4945688558
274	0.49454251
275	0.4945254649
276	0.4945120236
277	0.494484433
278	0.4944652473
279	0.4944436299
280	0.4944269276
281	0.4944078045
282	0.4943836022
283	0.494365477
284	0.4943418675
285	0.4943229399
286	0.4943041362
287	0.4942826007
288	0.4942549247
289	0.4942377302
290	0.4942220539
291	0.4942087571
292	0.4941926505
293	0.4941719284
294	0.4941520501
295	0.4941349231
296	0.4941146463
297	0.4940904351
298	0.4940618805
299	0.4940426644
300	0.4940270801
301	0.4940032429
302	0.4939891933
303	0.4939683759
304	0.4939409201
305	0.493918375
306	0.4939042469
307	0.4938883387
308	0.4938686498
309	0.4938512111
310	0.493842169
311	0.493822409
312	0.4938050556
313	0.4937961747
314	0.4937790377
315	0.4937561525
316	0.4937395938
317	0.4937216918
318	0.4937042208
319	0.4936894558
320	0.4936672272
321	0.4936487271
322	0.4936307329
323	0.4936137562
324	0.4936011295
325	0.4935800961
326	0.4935547925
327	0.4935386479
328	0.4935263503
329	0.4934998724
330	0.4934842074
331	0.4934625195
332	0.4934507964
333	0.4934331604
334	0.4934103836
335	0.4933973789
336	0.493381319
337	0.4933583579
338	0.4933390168
339	0.4933166486
340	0.4932925918
341	0.4932789153
342	0.4932620795
343	0.4932431445
344	0.4932256757
345	0.4932100228
346	0.4931927512
347	0.4931726942
348	0.4931531993
349	0.4931373224
350	0.4931251315
351	0.493108979
352	0.4930916558
353	0.493075038
354	0.4930633626
355	0.4930454612
356	0.4930232718
357	0.4930081155
358	0.4929944817
359	0.4929801735
360	0.4929654567
361	0.4929485093
362	0.4929311142
363	0.4929173376
364	0.4928919313
365	0.4928791363
366	0.4928576917
367	0.4928429664
368	0.4928193521
369	0.4927972445
370	0.4927784436
371	0.4927621991
372	0.4927471803
373	0.4927267004
374	0.4927029738
375	0.4926911805
376	0.4926774186
377	0.492655148
378	0.4926412668
379	0.4926185258
380	0.4925951797
381	0.4925736524
382	0.4925471942
383	0.4925258166
384	0.4925146867
385	0.4924981574
386	0.4924762303
387	0.492453116
388	0.4924356031
389	0.4924220404
390	0.4924039883
391	0.492391114
392	0.4923648579
393	0.4923491515
394	0.4923229303
395	0.4923116715
396	0.4922944982
397	0.4922744467
398	0.4922558565
399	0.4922335469
400	0.4922116726
401	0.4921993543
402	0.4921796965
403	0.4921631744
404	0.4921475593
405	0.4921299384
406	0.4921130203
407	0.4920941577
408	0.4920756492
409	0.4920530436
410	0.4920314402
411	0.492011276
412	0.4919923193
413	0.4919675431
414	0.4919465882
415	0.4919241165
416	0.4919041754
417	0.491889729
418	0.4918748302
419	0.4918599333
420	0.491845781
421	0.4918255798
422	0.4918085905
423	0.4917959222
424	0.4917797297
425	0.4917615251
426	0.4917373303
427	0.4917215617
428	0.4917077695
429	0.4916868098
430	0.4916670498
431	0.4916526751
432	0.4916399038
433	0.4916223361
434	0.4916023632
435	0.49159036
436	0.4915722549
437	0.4915587836
438	0.4915454735
439	0.4915211906
440	0.4914942981
441	0.4914706692
442	0.4914516127
443	0.4914352878
444	0.4914192006
445	0.4914037297
446	0.4913858574
447	0.4913705304
448	0.4913523125
449	0.4913307878
450	0.491316853
451	0.4913055718
452	0.4912954798
453	0.4912753684
454	0.4912612323
455	0.4912413644
456	0.4912270531
457	0.4912140954
458	0.4911971286
459	0.4911767388
460	0.4911576417
461	0.4911442517
462	0.4911314967
463	0.4911148838
464	0.4910985156
465	0.4910792301
466	0.4910652161
467	0.4910499132
468	0.4910323054
469	0.4910140282
470	0.4910040682
471	0.4909874738
472	0.4909718975
473	0.4909536359
474	0.4909367324
475	0.4909093891
476	0.4908947864
477	0.4908827422
478	0.4908602089
479	0.4908442325
480	0.4908214126
481	0.4908133534
482	0.4908018975
483	0.4907875357
484	0.4907637816
485	0.4907503649
486	0.4907349955
487	0.4907220857
488	0.4907147893
489	0.4906925054
490	0.4906720488
491	0.4906590678
492	0.4906451725
493	0.4906313559
494	0.4906161944
495	0.4905993221
496	0.4905827981
497	0.4905652873
498	0.4905472572
499	0.4905254519
500	0.490506006
501	0.4904852513
502	0.4904688121
503	0.4904485523
504	0.4904277693
505	0.4904117764
506	0.4903982099
507	0.490377642
508	0.4903557022
509	0.4903417408
510	0.4903294653
511	0.4903164656
512	0.4903013823
513	0.4902877486
514	0.4902691859
515	0.4902516161
516	0.4902375661
517	0.4902266812
518	0.490205051
519	0.4901879621
520	0.4901671306
521	0.4901580786
522	0.490146159
523	0.4901288319
524	0.4901133703
525	0.4901004897
526	0.4900891053
527	0.4900675409
528	0.4900435424
529	0.4900309356
530	0.4900172984
531	0.4899976388
532	0.4899849805
533	0.4899744886
534	0.4899634752
535	0.4899490109
536	0.4899273033
537	0.4899109264
538	0.4898904778
539	0.4898792916
540	0.489867647
541	0.4898518803
542	0.4898276787
543	0.4898105775
544	0.4897960701
545	0.4897726904
546	0.4897535959
547	0.4897407276
548	0.489725847
549	0.4897140118
550	0.4897014244
551	0.4896887732
552	0.4896712193
553	0.4896589862
554	0.4896451347
555	0.4896327096
556	0.4896177789
557	0.4896040878
558	0.4895939306
559	0.4895694255
560	0.4895534809
561	0.4895400087
562	0.4895205583
563	0.4895005502
564	0.489491826
565	0.4894702125
566	0.4894577304
567	0.4894383257
568	0.4894295019
569	0.4894181375
570	0.4893979867
571	0.4893851438
572	0.4893622337
573	0.4893424592
574	0.4893281015
575	0.4893166334
576	0.4893017949
577	0.4892934032
578	0.4892779218
579	0.489257464
580	0.4892475053
581	0.4892343847
582	0.4892217858
583	0.4892035443
584	0.489187019
585	0.4891668209
586	0.4891561955
587	0.4891397247
588	0.4891222195
589	0.4891066649
590	0.489095167
591	0.4890795254
592	0.4890588138
593	0.4890444082
594	0.4890301257
595	0.48901456
596	0.4890067979
597	0.4889907568
598	0.4889751488
599	0.4889565601
600	0.4889448549
601	0.4889239024
602	0.4889089903
603	0.4888963886
604	0.4888845302
605	0.4888634621
606	0.4888536684
607	0.4888314526
608	0.4888174364
609	0.4888001149
610	0.4887877261
611	0.4887714077
612	0.4887594193
613	0.4887487343
614	0.4887280849
615	0.4887168248
616	0.4887017256
617	0.4886863152
618	0.4886738158
619	0.488664187
620	0.4886455864
621	0.4886323951
622	0.4886207045
623	0.4886031288
624	0.4885902219
625	0.4885754051
626	0.4885584922
627	0.4885395878
628	0.4885180876
629	0.4884995954
630	0.4884846721
631	0.4884688096
632	0.4884610543
633	0.4884482214
634	0.4884349723
635	0.48842029
636	0.4884079402
637	0.4883975599
638	0.4883798742
639	0.4883646998
640	0.4883523805
641	0.4883338901
642	0.4883223562
643	0.4883088927
644	0.4882957153
645	0.4882804946
646	0.4882668355
647	0.4882494772
648	0.4882316268
649	0.488219774
650	0.4882075572
651	0.4881971385
652	0.4881828496
653	0.4881705547
654	0.4881597087
655	0.4881518965
656	0.488132913
657	0.4881145691
658	0.4881052586
659	0.4880932459
660	0.4880699506
661	0.4880563224
662	0.4880451924
663	0.4880290921
664	0.488017154
665	0.4880027682
666	0.487989724
667	0.4879773709
668	0.4879637124
669	0.4879458897
670	0.487923674
671	0.4879058809
672	0.4878932723
673	0.4878835091
674	0.4878686154
675	0.4878548379
676	0.4878356402
677	0.487821336
678	0.4878067743
679	0.4877886674
680	0.4877769331
681	0.487766367
682	0.4877519115
683	0.4877332975
684	0.4877156403
685	0.4877035827
686	0.4876898118
687	0.4876769937
688	0.4876612751
689	0.4876468797
690	0.4876303616
691	0.4876157293
692	0.4876056318
693	0.487590875
694	0.4875730796
695	0.4875563161
696	0.4875385566
697	0.4875232241
698	0.4875123836
699	0.4874940962
700	0.4874789805
701	0.4874615738
702	0.4874471915
703	0.4874304749
704	0.4874111877
705	0.4873987573
706	0.4873827411
707	0.4873679
708	0.4873548332
709	0.4873457412
710	0.4873355351
711	0.4873114591
712	0.4872912401
713	0.4872837477
714	0.4872713465
715	0.4872545364
716	0.4872359976
717	0.4872180342
718	0.4872021524
719	0.4871913136
720	0.4871783657
721	0.4871605201
722	0.4871422371
723	0.4871324182
724	0.4871127376
725	0.4870969734
726	0.4870822083
727	0.4870748223
728	0.4870581171
729	0.4870355375
730	0.4870247626
731	0.4870070774
732	0.4869959989
733	0.4869846457
734	0.4869733782
735	0.4869612373
736	0.4869422804
737	0.4869308568
738	0.4869084338
739	0.4868931336
740	0.4868726842
741	0.4868511373
742	0.4868287399
743	0.4868205869
744	0.4868046982
745	0.4867898475
746	0.4867751067
747	0.4867591138
748	0.4867479154
749	0.4867313814
750	0.4867184967
751	0.4867033842
752	0.4866777153
753	0.486654795
754	0.4866419815
755	0.4866279522
756	0.4866083628
757	0.4865951884
758	0.4865729324
759	0.4865657054
760	0.4865518942
761	0.4865422389
762	0.4865286168
763	0.4865151022
764	0.4865093327
765	0.4864977431
766	0.4864865018
767	0.4864771546
768	0.4864613017
769	0.4864493186
770	0.4864389377
771	0.4864229571
772	0.486409365
773	0.4863994585
774	0.4863849141
775	0.4863664693
776	0.4863523055
777	0.4863413189
778	0.4863247061
779	0.4863087958
780	0.4862890969
781	0.4862736021
782	0.4862577091
783	0.4862381703
784	0.4862239899
785	0.4862103755
786	0.4861960182
787	0.4861835268
788	0.4861723825
789	0.48616414
790	0.4861486095
791	0.4861322415
792	0.4861186874
793	0.4861037605
794	0.4860889722
795	0.4860769064
796	0.4860647282
797	0.4860537054
798	0.48603973
799	0.4860271031
800	0.4860100085
801	0.4859994877
802	0.4859879008
803	0.4859718269
804	0.4859591743
805	0.4859390832
806	0.4859225201
807	0.4858982786
808	0.4858817103
809	0.4858662514
810	0.4858583709
811	0.4858369943
812	0.4858285833
813	0.4858101574
814	0.485797276
815	0.485784055
816	0.4857726419
817	0.4857569835
818	0.4857419081
819	0.4857331125
820	0.4857119131
821	0.4856963897
822	0.4856817534
823	0.4856708995
824	0.4856480068
825	0.4856370277
826	0.4856264176
827	0.4856130991
828	0.4855963511
829	0.4855842875
830	0.4855635334
831	0.4855512063
832	0.4855434261
833	0.4855282826
834	0.4855159046
835	0.4855009339
836	0.4854872944
837	0.4854779634
838	0.4854566828
839	0.4854403789
840	0.4854200119
841	0.4854065488
842	0.4853921114
843	0.4853734627
844	0.4853572595
845	0.4853475396
846	0.4853317165
847	0.4853265359
848	0.485318113
849	0.4852997008
850	0.4852858748
851	0.4852732512
852	0.4852638052
853	0.4852518118
854	0.4852396787
855	0.4852281789
856	0.4852164923
857	0.4852028787
858	0.4851923237
859	0.4851807777
860	0.4851648282
861	0.4851448443
862	0.485136688
863	0.4851227368
864	0.4851106483
865	0.4850922127
866	0.4850823822
867	0.4850711589
868	0.4850562754
869	0.4850432677
870	0.485031794
871	0.4850180233
872	0.4850008729
873	0.4849876065
874	0.4849785003
875	0.4849673328
876	0.4849592689
877	0.484943444
878	0.4849312563
879	0.4849142804
880	0.4848969443
881	0.484887413
882	0.484875513
883	0.4848612047
884	0.4848498402
885	0.4848422613
886	0.4848298112
887	0.4848148373
888	0.4848022812
889	0.484790089
890	0.4847774864
891	0.4847652839
892	0.4847540639
893	0.4847377765
894	0.4847286705
895	0.4847138701
896	0.4846989809
897	0.4846894486
898	0.484672206
899	0.4846625944
900	0.4846446175
901	0.4846305971
902	0.4846145256
903	0.48460466
904	0.4845888906
905	0.4845797624
906	0.4845700658
907	0.4845531483
908	0.4845398193
909	0.4845202296
910	0.4844965332
911	0.4844801086
912	0.4844705752
913	0.4844589387
914	0.4844481108
915	0.4844341723
916	0.4844246319
917	0.4844082903
918	0.4843933474
919	0.4843829825
920	0.4843693681
921	0.4843581316
922	0.4843379329
923	0.4843300243
924	0.4843170486
925	0.4843034473
926	0.4842881337
927	0.4842751286
928	0.4842585952
929	0.4842378359
930	0.4842284274
931	0.4842169327
932	0.4842025148
933	0.4841879656
934	0.4841698014
935	0.4841581887
936	0.4841467739
937	0.4841308252
938	0.4841201259
939	0.484106048
940	0.4841007643
941	0.4840882751
942	0.4840735716
943	0.4840558153
944	0.4840447781
945	0.4840277149
946	0.4840165097
947	0.4840043671
948	0.4839886936
949	0.4839730953
950	0.483962795
951	0.4839484738
952	0.4839395946
953	0.4839273508
954	0.4839112523
955	0.4838941999
956	0.4838800051
957	0.483874346
958	0.4838562098
959	0.4838469162
960	0.4838320139
961	0.4838155946
962	0.4838033557
963	0.483791905
964	0.4837836447
965	0.4837673199
966	0.483754552
967	0.4837423467
968	0.4837286377
969	0.4837154965
970	0.4836995231
971	0.4836866148
972	0.4836736882
973	0.4836540687
974	0.4836348745
975	0.4836204006
976	0.4836038044
977	0.4835898251
978	0.4835734924
979	0.4835690145
980	0.4835579049
981	0.4835461249
982	0.483529171
983	0.4835101823
984	0.4835032291
985	0.4834892432
986	0.4834755578
987	0.4834655632
988	0.4834598856
989	0.4834502568
990	0.4834383688
991	0.4834217961
992	0.4834103916
993	0.4833989548
994	0.4833883461
995	0.4833665437
996	0.483349816
997	0.4833302568
998	0.4833198145
999	0.4833028131
